MaterialTicker,ExchangeCode,CompanyId,CompanyName,CompanyCode,ItemCount,ItemCost
AL,NC1,61d61bf1ba6212cba48fc489bcc63605,Bizkaiko Labe Garaiak,BLG,180,700
AL,NC1,eb84c8b2afdb6943e14f8299a04b7246,ALTURA16,A16,133,606
AL,NC1,018e84eae8039535d197ddc2e24149fa,BBMining,BBM,381,1000
AL,NC1,be26792984776187e9579fec45a88eab,Adler Metal Company,AMC,459,605
AL,NC2,5d73f9b9d2d7a6a10b03586babb5980b,Polymetal Retrieval,PMRV,114,620
AL,NC2,5d73f9b9d2d7a6a10b03586babb5980b,Polymetal Retrieval,PMRV,20,375
AL,NC2,5d73f9b9d2d7a6a10b03586babb5980b,Polymetal Retrieval,PMRV,60,375
AL,NC2,61d61bf1ba6212cba48fc489bcc63605,Bizkaiko Labe Garaiak,BLG,19,1200
AL,NC2,d2fcd09b4414494b6c22565bd4d18066,Fungal Solutions Inc.,FSOL,205,400
ALE,AI1,7116cb03c067d29e1b3fe30f863638e0,Kowa-Bunga,KOWB,15,1725
ALE,AI1,f96039192d19ada442419535e85e52da,Avarty Corps,AVCP,100,1700
ALE,AI1,7116cb03c067d29e1b3fe30f863638e0,Kowa-Bunga,KOWB,40,1750
ALE,AI1,63e665ec835fe663c2dd845c1046deb0,ZymKultureII,ZKII,33,1699.949951171875
ALE,AI1,63e665ec835fe663c2dd845c1046deb0,ZymKultureII,ZKII,78,2250
ALE,CI1,f42a14fde55f4cd9ede35dde2ce72f84,Glitch Free Group,GFG,577,1700
ALE,CI1,f42a14fde55f4cd9ede35dde2ce72f84,Glitch Free Group,GFG,300,1700
ALE,IC1,01f3990d581efc2955914d8d38bce0df,Schneider Canada Services,SCS,100,1250
ALE,IC1,815d82722ee2a74a42b897baa8d5ed76,Emergent Enterprises Co,EECO,65,1100
ALE,IC1,eb84c8b2afdb6943e14f8299a04b7246,ALTURA16,A16,120,1500
ALE,IC1,e56cc3552f5039f74e489776d8798ba8,Galactic Logistics,GLOG,10,1249.9000244140625
ALE,IC1,5a5713beeab7820b7aad25a3ccb99ab0,DachsHundKooperation,DHK,6,1340
ALE,IC1,cadf1032a02c633e4f0bb4e59489b9a6,Quasi Kool-Aid Consortium,QKAC,100,1300
ALE,NC1,dad6774271287b6dc8416d4dc0e9dad3,Aufricers Kramladen,A1,10,1601
ALE,NC1,851719d6cfeae28a64817daa8f1b6bef,Next Gen Food,NGFD,42,1470
ALE,NC1,1722d9caeafd49684a31093297af3c38,Art Of Dao,AOD,10,1982.22998046875
ALE,NC1,eb84c8b2afdb6943e14f8299a04b7246,ALTURA16,A16,128,1495
ALE,NC1,e84251b56475af4cadd53cf351b16a24,Int'l Import-Export Trading Co,IIET,44,1479.989990234375
ALE,NC1,a1a82ee4e9ed2a800442a4b1b168438e,BlastingInc,BLST,200,1465
ALE,NC1,eb84c8b2afdb6943e14f8299a04b7246,ALTURA16,A16,120,1475
ALE,NC1,68d282e10b2650dee8c75ff76cb16d38,Lumber Liquidators,BMEX,115,1480
ALE,NC2,fa9361dfcd747f3bd31262e04e561d90,Dawn Foods Limited,DFL,60,1250
ALG,CI1,ebad6e6b3113bc6d4794f6726fe7c650,Minas Tirith Inc,MTI,26,120
ALG,IC1,f96039192d19ada442419535e85e52da,Avarty Corps,AVCP,40,166
ALG,IC1,2e6fce3a75bc2859bc45a3cac076eb92,Tyrell Corp.,ACAB,240,180
ALG,IC1,851719d6cfeae28a64817daa8f1b6bef,Next Gen Food,NGFD,96,165
ALG,IC1,851719d6cfeae28a64817daa8f1b6bef,Next Gen Food,NGFD,342,165
ALG,IC1,f61640fbd5a465a5bf8122ac977041ba,Ocean Bound Products,ONBP,168,168
ALG,NC1,8d50d2175881e9316b4b2e6cf022a51e,banda198,B198,10,170
ALG,NC1,8d50d2175881e9316b4b2e6cf022a51e,banda198,B198,1000,180
ALG,NC1,238766bd38bc92c00d109137144bb351,Kubernetes,K8S,145,160
ALO,AI1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,370,75
ALO,AI1,4a971cb5e16258781aac6a13d574c1ae,LICK Manufacturing,LICK,370,84
ALO,AI1,5bd093621ad19ebb12fff685e6fba8c3,Cerberus Corporation,CC13,688,87.5
ALO,AI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,586,94.9800033569336
ALO,AI1,cae7382361b71cf99f8cb6ce7e895216,KalCorp,KAL,136,61
ALO,AI1,1364210b134ff09a9d69b7bf3b2236c9,Astra Manufactorium,AMF,12,94
ALO,AI1,5bd093621ad19ebb12fff685e6fba8c3,Cerberus Corporation,CC13,510,87.5
ALO,AI1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,202,75
ALO,AI1,4a971cb5e16258781aac6a13d574c1ae,LICK Manufacturing,LICK,740,84
ALO,AI1,4a971cb5e16258781aac6a13d574c1ae,LICK Manufacturing,LICK,370,84
ALO,AI1,48e03c26b8e58db3dc38738753ef6b0b,Universal Reserve,UR,660,99.98999786376953
ALO,AI1,57e8b6ca7a38768210dd1f3d01176f42,Adi Carbon,AC,637,89.88999938964844
ALO,AI1,48e03c26b8e58db3dc38738753ef6b0b,Universal Reserve,UR,535,99.98999786376953
ALO,AI1,a69ec4db1e69aa2a6cd4375020b8d6a5,Tuatha De Danaan,TDD,56,61.18000030517578
ALO,AI1,f88088c1a664e25f76edc6f5f5466f4e,Atlas,AT,537,100
ALO,AI1,4a971cb5e16258781aac6a13d574c1ae,LICK Manufacturing,LICK,370,87
ALO,AI1,5bd093621ad19ebb12fff685e6fba8c3,Cerberus Corporation,CC13,456,87.5
ALO,AI1,f88088c1a664e25f76edc6f5f5466f4e,Atlas,AT,357,100
ALO,AI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,253,94.9800033569336
ALO,AI1,1364210b134ff09a9d69b7bf3b2236c9,Astra Manufactorium,AMF,57,94
ALO,AI1,5bd093621ad19ebb12fff685e6fba8c3,Cerberus Corporation,CC13,550,87.5
ALO,AI1,049d4803edbe55097e283347f851bed5,ZoksTots,ZKTT,235,70
ALO,CI1,8aaf681dfb4811fc9db104e35b02928c,Peregrine Light Ag Industries,PLG,400,90
ALO,CI1,a66e344497cbe47f100be24a7dca6dd9,Jontos Planetary Construction,JPC,73,195
ALO,CI1,ffa1f75d9bf465f2e3daea8829e1dd5f,Lekvar Inc.,LEK,370,119
ALO,CI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,13,139.9499969482422
ALO,CI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,982,120
ALO,CI1,ffa1f75d9bf465f2e3daea8829e1dd5f,Lekvar Inc.,LEK,298,124.4000015258789
ALO,CI1,ffa1f75d9bf465f2e3daea8829e1dd5f,Lekvar Inc.,LEK,370,119
ALO,CI1,99c37b8d93409e4807172f5c5e8a7949,Vox Lunaris,VLNS,245,113
ALO,CI1,a13adbfdb79e9097a8ff800d6a3a393f,LIfeisGood,LFIG,60,138
ALO,CI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,124,139
ALO,CI1,bf1291688a705749d7ce37614474b991,CEIB Enterprice,CEIB,71,111
ALO,CI1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,769,130
ALO,CI1,76d40a729166ec2d61217e18df128ea3,Reptilian Dairy Ventures LP,DD11,23,124.98999786376953
ALO,CI1,ffa1f75d9bf465f2e3daea8829e1dd5f,Lekvar Inc.,LEK,370,119
ALO,CI1,2a6b4a966cc7aa5f89b2d85bf4fa5763,James,TSLA,245,114
ALO,CI1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,1481,140
ALO,CI2,ffa1f75d9bf465f2e3daea8829e1dd5f,Lekvar Inc.,LEK,96,80
ALO,IC1,eb84c8b2afdb6943e14f8299a04b7246,ALTURA16,A16,300,200
ALO,IC1,1fa3166da90099ab3183cb37564d9d91,Mumzhar Industries,MZHR,999,100
ALO,IC1,f2dba1e95d3f9bedd07a94dc875dbf2a,SharaMetal,SHM1,172,128
ALO,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,42,120
ALO,IC1,57e8b6ca7a38768210dd1f3d01176f42,Adi Carbon,AC,223,93
ALO,IC1,57e8b6ca7a38768210dd1f3d01176f42,Adi Carbon,AC,258,99
ALO,IC1,2fd3c1590b0eb5f9b969eca45d2c3fe1,JefTek,JTEK,554,94
ALO,IC1,57e8b6ca7a38768210dd1f3d01176f42,Adi Carbon,AC,370,108
ALO,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,1000,105
ALO,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,300,130
ALO,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,1320,125
ALO,IC1,e46b859b630c7a960101773877e2cddd,Mantissa Manufacturing,MTSS,63,185
ALO,IC1,c77a6da231130f11d585c8df785f5659,Freelance Traders Association,FTA,370,109.98999786376953
ALO,IC1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,596,140
ALO,IC1,582a9c467e54b4dba2059e4e814a9c16,Melon Industries,M3L,368,154
ALO,IC1,e46b859b630c7a960101773877e2cddd,Mantissa Manufacturing,MTSS,100,199
ALO,NC1,e9a5c417878286e3b2cb491943bea210,D-Mis Makers,DMIS,370,280
ALO,NC1,0e438faeca49d5541559f66d3955c847,Stock Trading Inc,STOK,388,150
ALO,NC1,edc19d7ccf76bed74daf49c667abe753,Thinking Machines,TM,10367,273
ALO,NC1,057c7367c7549e1aca85c65823d72830,Arkina,ARK,300,149
ALO,NC1,96687313c7e1b0976482771d64947814,Edward Reed Industries,REED,1468,275
ALO,NC1,c77a6da231130f11d585c8df785f5659,Freelance Traders Association,FTA,10,119.98999786376953
ALO,NC1,ffa1f75d9bf465f2e3daea8829e1dd5f,Lekvar Inc.,LEK,290,197
AMM,AI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,111,786.469970703125
AMM,AI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,100,954.3200073242188
AMM,AI1,7ceb5f7cc1bebc90e275ca1fe019fc40,Voynich Trading Ship,VTS,220,354.6300048828125
AMM,AI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,53,772.9000244140625
AMM,CI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,994,341
AMM,CI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,1885,530.6400146484375
AMM,CI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,445,372.6700134277344
AMM,CI1,328bbbb2ebbea27aa642ba0400760895,The Gravy Company,GC,1878,160
AMM,CI1,487f6150d7832b559f146336707cfc4a,Unlimited Ltd.,UN,59,155.5500030517578
AMM,CI1,25bfb652e78b0972a2e7aec0f2d44cb8,xYzIx,XZL,10,160
AMM,CI1,1722d9caeafd49684a31093297af3c38,Art Of Dao,AOD,455,284.510009765625
AMM,CI1,460a9a6b4636fcc927e405fb2c8a0160,AKINA,AKN,10,206.32000732421875
AMM,CI1,92f69b8858d1814e8e91f20790fc48d9,Gamma,GMA,2,229
AMM,CI1,460a9a6b4636fcc927e405fb2c8a0160,AKINA,AKN,10,206.32000732421875
AMM,CI1,6b4e35746112fea46d9d4f003575c971,USDA CAT MEAT,UCM,11,159
AMM,CI1,d98e3573a2dee2ff857a059a5be56640,Haulin Oats,OATS,9,199.99000549316406
AMM,CI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,484,498.6000061035156
AMM,CI1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,472,553.3200073242188
AMM,CI1,8ca2b1968ec7c63f5f9c7f7ab5883e5f,Joeporium,JK19,100,185
AMM,CI2,a585becf431907977292004a696a29bb,Cox Industries,COXI,200,150
AMM,IC1,d7750bc24f90a78371a6e00882eca0bf,RegalGoblin-Destroyer,BYEK,5240,500
AMM,NC1,b8a95012387fe84906c3eb7eee58d91e,Cornerstone,CSTN,500,364.32000732421875
AMM,NC1,95d0a1820bf73be355b2d34f85875f49,The Star Business,TSB,1000,120
AMM,NC1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,1409,310.19000244140625
AMM,NC1,94bb59d745cf7031c9181d2197371c4f,Hell fire fuel,HFF,25,145
AMM,NC1,95d0a1820bf73be355b2d34f85875f49,The Star Business,TSB,1000,120
AMM,NC1,b8a95012387fe84906c3eb7eee58d91e,Cornerstone,CSTN,500,364.32000732421875
AMM,NC1,95d0a1820bf73be355b2d34f85875f49,The Star Business,TSB,1000,120
AMM,NC1,aa1c42f3ff45f938c4bbb7fb11359d31,Niegrozny INC,NGRZ,268,322.8699951171875
AMM,NC1,95d0a1820bf73be355b2d34f85875f49,The Star Business,TSB,718,120
AMM,NC1,95d0a1820bf73be355b2d34f85875f49,The Star Business,TSB,1000,120
AMM,NC2,fa9361dfcd747f3bd31262e04e561d90,Dawn Foods Limited,DFL,69,130
AMM,NC2,2c1ac587af8ab38784b318e3b60bb5ff,Konvolux,KVX,20,120
AR,AI1,1d8042e8ba601e9fe50b43ec00b11bb8,Bubbleworld,BBW,100,240
AR,AI1,1d8042e8ba601e9fe50b43ec00b11bb8,Bubbleworld,BBW,50,240
AR,AI1,f88088c1a664e25f76edc6f5f5466f4e,Atlas,AT,84,400
AR,AI1,1d8042e8ba601e9fe50b43ec00b11bb8,Bubbleworld,BBW,270,240
AR,CI1,3ca42360990ad24aab40eb810cec65a0,Under Night In Baguette,UNIB,100,159
AR,CI1,d2b11009b4d4d0f556e660ca8a54e638,Zen Interstellar Propellant,ZIPP,142,168
AR,CI1,e84251b56475af4cadd53cf351b16a24,Int'l Import-Export Trading Co,IIET,123,177.99000549316406
AR,CI1,3ca42360990ad24aab40eb810cec65a0,Under Night In Baguette,UNIB,260,169
AR,CI1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,280,375
AR,CI1,064f291f64747f1b286ba290f65178d0,Tinker Industries,TIN,1401,160
AR,CI1,ca8c815f06dbcb19e33aef0e3bac4ecc,Hooli,HL,359,170
AR,CI1,3ca42360990ad24aab40eb810cec65a0,Under Night In Baguette,UNIB,280,180
AR,CI1,ecbc13e60c94d916ef377a7b1b3061e2,Pepsene Gas Co,PGC,172,238
AR,IC1,e84251b56475af4cadd53cf351b16a24,Int'l Import-Export Trading Co,IIET,14,304.989990234375
AR,IC1,eb84c8b2afdb6943e14f8299a04b7246,ALTURA16,A16,22,395
AR,IC1,ecbc13e60c94d916ef377a7b1b3061e2,Pepsene Gas Co,PGC,185,310
AR,IC1,d5b678f276731a9ce6ce9376251838c8,homo ahimsa Unlimited,AHIM,269,755.5700073242188
AR,IC1,eebf3a956478ba4ef02cb1e7748c1f18,Tayama,TAY,100,400
AR,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,154,320
AR,IC1,bbb98a163eeb13f18302f42e4707e1f0,Palookas,PAL,74,305
