Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
HAL,75,,418.6600036621094,48,450,716,100,250,311,355.9100036621094,100,380,100,120,151,1430,102.86000061035156,,,0,,,0,267.92999267578125,760,250,1245,30,127.01000213623047,2629,500,60,500,60,,,0,224.86000061035156,23,225,1424,127,200,1514
HCC,,,362.7799987792969,,,0,600,300,600,400,,,0,35,250,35,328.1400146484375,,,0,,,0,624,200,570,620,50,388.32000732421875,638,328.1400146484375,,,0,,,0,603.0599975585938,5,603.0599975585938,117,,,0
HCP,88,,142.80999755859375,31,160,1766,10,89,110,136.32000732421875,100,130,403,73,110.01000213623047,1898,149,,,0,,,0,166.14999389648438,150,160,5099,100,131,2037,100,59,100,159,,,0,107.55999755859375,225,120,695,40,100,1095
HD,,,2613.889892578125,,,0,10,2800,220,2400,,,0,6,2500,36,1609.739990234375,,,0,,,0,2603.330078125,,,0,6,2800,241,1609.739990234375,,,0,,,0,1609.739990234375,,,0,,,0
HE,75,,112.2699966430664,283,170,1112,22,87,1382,125.88999938964844,866,133.3300018310547,1338,6,110.02999877929688,1314,121.20999908447266,,,0,,,0,77.33000183105469,165,80,4612,100,75,100,185,100,150,344,,,0,122.77999877929688,251,179.9199981689453,1801,150,100,459
HE3,,,393.20001220703125,,,0,5,246.91000366210938,221,226.77000427246094,122,240,801,20,165,1004,50000,,,0,,,0,223.1999969482422,132,250,11582,147,185,1713,220,130,220,130,,,0,144.97999572753906,120,224.9499969482422,27075,72,136.00999450683594,1364
HER,,,1550,,,0,100,1250,126,951.0399780273438,,,0,3,951.0399780273438,220,1200.0899658203125,,,0,,,0,1443.1099853515625,,,0,100,1450,1034,1100,8,1100,48,,,0,1676.2099609375,10,2350,18,266,1301,672
HEX,,,41.13999938964844,,,0,,,0,41.13999938964844,,,0,,,0,41.13999938964844,,,0,,,0,41.13999938964844,,,0,,,0,41.13999938964844,,,0,,,0,41.13999938964844,,,0,100,21,100
HHP,,,3373.25,,,0,,,0,3373.25,,,0,,,0,3373.25,,,0,,,0,3373.25,,,0,,,0,3373.25,,,0,,,0,3373.25,,,0,,,0
HMS,,,1971.6099853515625,,,0,100,1500,493,1190.6199951171875,78,1500,238,100,1100,303,575,,,0,50,750,50,1210.8800048828125,4,1238,702,30,954,515,1000,15,1000,61,,,0,1203.8699951171875,34,1280,712,132,1000,511
HNZ,,,99440.7421875,,,0,,,0,99440.7421875,,,0,,,0,99440.7421875,,,0,,,0,99440.7421875,,,0,,,0,99440.7421875,,,0,,,0,99440.7421875,,,0,,,0
HOG,,,3000,15,2500,92,,,0,4500,4,3899,35,,,0,3884.449951171875,,,0,,,0,6000,25,3900,25,,,0,3884.449951171875,,,0,,,0,3884.449951171875,,,0,,,0
HOP,,,1375.4599609375,,,0,100,1800,180,1000,,,0,1,1150,89,906.6699829101562,,,0,,,0,1999,4,4900,589,200,1530.02001953125,655,906.6699829101562,,,0,,,0,3236.159912109375,248,3000,248,50,1752,500
